,name,type,System ,Line ,Angle,Head Rotation
673,I16,2 BUTTON,15.82-5/8in,Hose 14.3,90Åã,
674,I18,2 BUTTON,15.82-5/8in,Hose 14.3,90Åã,
675,I20,2 BUTTON,15.82-5/8in,Hose 14.3,90Åã,
676,I68,2 BUTTON,15.82-5/8in,Hose 14.3,45Åã,
677,I55,2 BUTTON,15.82-5/8in,Hose 14.3,45Åã,
678,I34,2 BUTTON END CAP,15.82-5/8in,,STRAIGHT,
679,I67,2 BUTTON END CAP,15.82-5/8in,,STRAIGHT,
680,I52,END PIECE,15.82-5/8in,Tube 14x16 or 5/8in,STRAIGHT,
681,I70,END PIECE,15.82-5/8in,Tube 14x16 or 5/8in,STRAIGHT,
682,I69,END PIECE,15.82-5/8in,Tube 14x16 or 5/8in,90Åã,
683,I24,END PIECE LONG VERSION,15.82-5/8in,Tube 12x14 or 1/2in,STRAIGHT,
684,I71,END PIECE,15.82-5/8in,Tube 12x14 or 1/2in,STRAIGHT,
685,IS3,2 BUTTON,15.75,Hose 15,90Åã,
686,IS1,2 BUTTON,15.75,,STRAIGHT,
687,IS2,2 BUTTON,15.75,,45Åã,
688,YA13,2 BUTTON COMPACT,14.00,Tube 15x18,STRAIGHT,
689,YA14,2 BUTTON COMPACT,14.00,Tube 15x18,90Åã,0 or 90Åã
690,YA15,2 BUTTON COMPACT,14.00,Tube 15x18,3 WAY,0 or 90Åã
691,YA11,2 BUTTON COMPACT LASER WELDING,14.00,Tube 14x16.5,STRAIGHT,
692,YA12,2 BUTTON COMPACT LASER WELDING,14.00,Tube 14x16.5,3 WAY,0 or 90Åã
693,YA1,2 BUTTON COMPACT,14.00,Tube 12x14 or 1/2in,STRAIGHT,
694,YA2,2 BUTTON COMPACT,14.00,Tube 12x14 or 1/2in,90Åã,0 or 90Åã
695,YA3,2 BUTTON COMPACT,14.00,Tube 12x14 or 1/2in,3 WAY,0 or 90Åã
696,YA8,2 BUTTON COMPACT LASER WELDING,14.00,Tube 10x12,STRAIGHT,
697,YA9,2 BUTTON COMPACT LASER WELDING,14.00,Tube 10x12,90Åã,0 or 90Åã
698,YA10,2 BUTTON COMPACT LASER WELDING,14.00,Tube 10x12,3 WAY,0 or 90Åã
699,UA1,2 BUTTON SHORT SINGLE O-RING,13.00,Tube 10x12,90Åã,
700,U22,SELFY,12.61-1/2in,Tube 12x14 or 1/2in,STRAIGHT,
701,U15,P2L,12.61-1/2in,Tube 12x14 or 1/2in,STRAIGHT,
702,U16,P2L,12.61-1/2in,Tube 12x14 or 1/2in,90Åã,270Åã
703,U21,CLICK P2L,12.61-1/2in,Tube 12x14 or 1/2in,STRAIGHT,270Åã
704,U20,CLICK P2L,12.61-1/2in,Tube 12x14 or 1/2in,90Åã,270Åã
705,U11,2 BUTTON,12.61-1/2in,Tube 9x12,STRAIGHT,
706,U26,2 BUTTON ONE WAY VALVE,12.61-1/2in,Tube 9x12,STRAIGHT,
707,U12,2 BUTTON,12.61-1/2in,Tube 9x12,45Åã,
708,U23,2 BUTTON,12.61-1/2in,Tube 8x10 or 3/8in,90Åã,
709,U10,2 BUTTON,12.61-1/2in,Tube 6x8 or 5/16in,STRAIGHT,
710,U3,2 BUTTON SINGLE O-RING,12.61-1/2in,Tube 14x16 or 5/8in,STRAIGHT,
711,U7,2 BUTTON,12.61-1/2in,Tube 12x14 or 1/2in,STRAIGHT,
712,U8,2 BUTTON,12.61-1/2in,Tube 12x14 or 1/2in,90Åã,
713,U24,END PIECE,12.61-1/2in,Tube 12x14 or 1/2in,STRAIGHT,
714,U25,END PIECE,12.61-1/2in,Tube 12x14 or 1/2in,STRAIGHT,
715,H76,SELFY SHUT OFF VALVE,11.80,Tube 10x12,STRAIGHT,
716,H77,SELFY,11.80,Tube 10x12,STRAIGHT,
717,H78,SELFY,11.80,Tube 10x12,90Åã,
718,H80,SELFY,11.80,Tube 10x12,90Åã,
719,H79,SELFY,11.80,Hose 12,STRAIGHT,
720,H42,P2L,11.80,Tube 8x10 or 3/8in,90Åã,270Åã
721,H43,P2L,11.80,Tube 6x8 or 5/16in,90Åã,270Åã
722,H51,P2L,11.80,Tube 12x14 or 1/2in,STRAIGHT,
723,H53,P2L,11.80,Tube 12x14 or 1/2in,90Åã,270Åã
724,H34,P2L,11.80,Tube 10x12,STRAIGHT,
725,H69,P2L,11.80,Tube 10x12,STRAIGHT,
726,H35,P2L,11.80,Tube 10x12,90Åã,270Åã
727,H70,P2L,11.80,Tube 10x12,90Åã,270Åã
728,H81,P2L,11.80,Hose 12,STRAIGHT,
729,H19,2 BUTTON,11.80,Tube 9x12,STRAIGHT,
730,H20,2 BUTTON,11.80,Tube 9x12,90Åã,
731,H56,2 BUTTON TAP,11.80,Tube 9x12,90Åã,
732,H21,2 BUTTON,11.80,Tube 9x12,45Åã,
733,H60,2 BUTTON SHUT OFF VALVE,11.80,Tube 8x10 or 3/8in,STRAIGHT,
734,H64,2 BUTTON,11.80,Tube 8x10 or 3/8in,STRAIGHT,
735,H52,2 BUTTON,11.80,Tube 8x10 or 3/8in,90Åã,
736,H2,2 BUTTON,11.80,Tube 6x8 or 5/16in,90Åã,
737,H39,2 BUTTON SINGLE O-RING,11.80,Tube 6x8 or 5/16in,90Åã,
738,H50,2 BUTTON,11.80,Tube 6x8 or 5/16in,45Åã,
739,H44,2 BUTTON,11.80,Tube 12x14 or 1/2in,STRAIGHT,
740,H67,2 BUTTON,11.80,Tube 12x14 or 1/2in,STRAIGHT,
741,H28,2 BUTTON,11.80,Tube 12x14 or 1/2in,90Åã,
742,H68,2 BUTTON,11.80,Tube 12x14 or 1/2in,90Åã,
743,H16,2 BUTTON,11.80,Tube 10x12,STRAIGHT,
744,H25,2 BUTTON SINGLE O-RING,11.80,Tube 10x12,STRAIGHT,
745,H5,2 BUTTON,11.80,Tube 10x12,STRAIGHT,
746,H66,2 BUTTON,11.80,Tube 10x12,90Åã,
747,H26,2 BUTTON SINGLE O-RING,11.80,Tube 10x12,90Åã,
748,H6,2 BUTTON,11.80,Tube 10x12,90Åã,
749,H65,2 BUTTON,11.80,Tube 10x12,45Åã,
750,H40,2 BUTTON SINGLE O-RING,11.80,Tube 10x12,45Åã,
751,H61,2 BUTTON,11.80,Hose 9.3,STRAIGHT,
752,H62,2 BUTTON,11.80,Hose 9.3,90Åã,
753,H75,2 BUTTON,11.80,Hose 8.5,90Åã,90Åã
754,H29,2 BUTTON SHUT OFF VALVE,11.80,Hose 11.3,STRAIGHT,
755,H73,2 BUTTON,11.80,Hose 11.3,45Åã,
756,H14,2 BUTTON REINFORCED WITH METAL INSERT,11.80,Hose 10,STRAIGHT,
757,H71,2 BUTTON,11.80,Hose 10,STRAIGHT,
758,H8,2 BUTTON,11.80,Hose 10,STRAIGHT,
759,H22,2 BUTTON,11.80,Hose 10,90Åã,
760,H72,2 BUTTON,11.80,Hose 10,90Åã,
761,H41,2 BUTTON CARTRIDGE,11.80,,STRAIGHT,
762,H63,2 BUTTON CARTRIDGE,11.80,,STRAIGHT,
763,H74,END PIECE,11.80,Tube 9x12,STRAIGHT,
764,H10,END PIECE,11.80,Tube 10x12,STRAIGHT,
765,H58,END PIECE THREADED,11.80,M14x1.5,STRAIGHT,
766,G72,SELFY,10.00,Tube 8x10 or 3/8in,STRAIGHT,
767,G73,SELFY,10.00,Tube 8x10 or 3/8in,90Åã,
768,G74,SELFY,10.00,Tube 6x8 or 5/16in,STRAIGHT,
769,YT1,2 BUTTON COMPACT LASER WELDING,10.00,Tube 10x12,STRAIGHT,
770,YT2,2 BUTTON COMPACT LASER WELDING,10.00,Tube 10x12,90Åã,0 or 90Åã
771,G41,2 BUTTON,10.00,Tube 9x12,STRAIGHT,
772,G42,2 BUTTON,10.00,Tube 9x12,90Åã,
773,G43,2 BUTTON,10.00,Tube 9x12,45Åã,
774,G14,2 BUTTON,10.00,Tube 8x10 or 3/8in,STRAIGHT,
775,G3,2 BUTTON,10.00,Tube 8x10 or 3/8in,STRAIGHT,
776,G46,2 BUTTON,10.00,Tube 8x10 or 3/8in,STRAIGHT,
777,G56,2 BUTTON,10.00,Tube 8x10 or 3/8in,STRAIGHT,
778,G4,2 BUTTON,10.00,Tube 8x10 or 3/8in,90Åã,
779,G25,2 BUTTON,10.00,Tube 8x10 or 3/8in,90Åã,
780,G35,2 BUTTON,10.00,Tube 8x10 or 3/8in,90Åã,
781,G31,2 BUTTON,10.00,Tube 8x10 or 3/8in,55Åã,
782,G53,2 BUTTON,10.00,Tube 8x10 or 3/8in,55Åã,
783,G60,2 BUTTON,10.00,Tube 8x10 or 3/8in,3 WAY,
784,G71,2 BUTTON ANTI TWIST WITH MALE END FORM,10.00,Tube 8x10 or 3/8in,3 WAY,
785,G26,2 BUTTON,10.00,Tube 8x10 or 3/8in,30Åã,
786,G57,2 BUTTON,10.00,Tube 8x10 or 3/8in,30Åã,
787,G1,2 BUTTON,10.00,Tube 6x8 or 5/16in,STRAIGHT,
788,G55,2 BUTTON,10.00,Tube 6x8 or 5/16in,STRAIGHT,
789,G2,2 BUTTON,10.00,Tube 6x8 or 5/16in,90Åã,
790,G45,2 BUTTON,10.00,Tube 6x8 or 5/16in,90Åã,
791,G7,2 BUTTON SINGLE O-RING,10.00,Tube 6x8 or 5/16in,90Åã,
792,G27,2 BUTTON,10.00,Tube 6x8 or 5/16in,45Åã,
793,G5,2 BUTTON,10.00,Tube 10x12,STRAIGHT,
794,G81,2 BUTTON SINGLE O-RING,10.00,Tube 10x12,STRAIGHT,
795,G6,2 BUTTON,10.00,Tube 10x12,90Åã,
796,G82,2 BUTTON SINGLE O-RING,10.00,Tube 10x12,90Åã,
797,G40,2 BUTTON,10.00,Hose 9.5,45Åã,
798,G11,2 BUTTON,10.00,Hose 9.3,STRAIGHT,
799,G22,2 BUTTON,10.00,Hose 9.3,STRAIGHT,
800,G75,2 BUTTON SHORT SINGLE O-RING,10.00,Hose 9.3,STRAIGHT,
801,G77,2 BUTTON SHORT SINGLE O-RING,10.00,Hose 9.3,STRAIGHT,
802,G79,2 BUTTON SHORT SINGLE O-RING,10.00,Hose 9.3,STRAIGHT,
803,G8,2 BUTTON,10.00,Hose 9.3,STRAIGHT,
804,G10,2 BUTTON,10.00,Hose 9.3,90Åã,
805,G23,2 BUTTON,10.00,Hose 9.3,90Åã,
806,G76,2 BUTTON SHORT SINGLE O-RING,10.00,Hose 9.3,90Åã,
807,G78,2 BUTTON SHORT SINGLE O-RING,10.00,Hose 9.3,90Åã,
808,G80,2 BUTTON SHORT SINGLE O-RING,10.00,Hose 9.3,90Åã,
809,G9,2 BUTTON,10.00,Hose 9.3,90Åã,
810,G17,2 BUTTON,10.00,Hose 7.5,STRAIGHT,
811,G18,2 BUTTON,10.00,Hose 7.5,90Åã,
812,G44,2 BUTTON END CAP,10.00,,STRAIGHT,
813,G47,2 BUTTON CARTRIDGE,10.00,,,
814,G49,2 BUTTON END CAP,10.00,,,
815,G69,1 BUTTON,10.00,Tube 6x8 or 5/16in,90Åã,
816,G50,END PIECE,10.00,Tube 9x12,STRAIGHT,
817,G34,END PIECE,10.00,Tube 8x10 or 3/8in,STRAIGHT,
818,G70,END PIECE,10.00,Tube 8x10 or 3/8in,STRAIGHT,
819,G61,END PIECE,10.00,Tube 6x8 or 5/16in,STRAIGHT,
820,E5,Line ,,,,
821,B15,Line ,,,,
822,S28,ADAPTOR,,Tube 9x12,STRAIGHT,
823,S35,ADAPTOR,,Tube 9x12,3 WAY,
824,S38,ADAPTOR,,Tube 8x10 or 3/8in,3 WAY,
825,S4,ADAPTOR,,Tube 8x10 or 3/8in,3 WAY,
826,S18,ADAPTOR,,Tube 6x8 or 5/16in,STRAIGHT,
827,S19,ADAPTOR,,Tube 6x8 or 5/16in,STRAIGHT,
828,S2,ADAPTOR,,Tube 6x8 or 5/16in,3 WAY,
829,S27,ADAPTOR,,Tube 6x8 or 5/16in,3 WAY,
830,S11,ADAPTOR,,Tube 6x8 or 5/16in,30Åã,
831,ZB5,Line ,,,,
832,B46,Line ,,,,
833,S21,ADAPTOR,,Tube 3.35x4.5,3 WAY,
834,S41,ADAPTOR,,Tube 16.5x18.5,3 WAY,
835,S29,ADAPTOR,,Tube 14x16 or 5/8in,STRAIGHT,
836,S7,ADAPTOR,,Tube 14x16 or 5/8in,90Åã,
837,S22,ADAPTOR,,Tube 14x16 or 5/8in,4 WAY,
838,S14,ADAPTOR,,Tube 14x16 or 5/8in,3 WAY,
839,S39,ADAPTOR,,Tube 14x16 or 5/8in,3 WAY,
840,S40,ADAPTOR,,Tube 14x16 or 5/8in,3 WAY,
841,S31,ADAPTOR,,Hose 7.5,90Åã,
842,S12,ADAPTOR,,Hose 7.5,3 WAY,
843,S5,ADAPTOR,,Hose 7.5,3 WAY,
844,S36,ADAPTOR,,Hose 5.5,3 WAY,
